ID_SiteDate,Site_Order,State_Abbrev,Site_Key,Date,Collection_method,Depth_m,Latitude_manual,Longitude_manual,Dermo_Prevalence,MSX_Prevalence,Pea_crab,Polydora.active,Boring_sponge,Total_area_infected_num,dermo_prev_percent,msx_prev_percent,boringsponge_prev_percent,polydoraactive_prev_percent,intensity_msx,Cq_Mean_MSX,SQ_Mean_MSX,intensity_dermo,Cq_Mean_Dermo,SQ_Mean_Dermo,download_date_sal,source_description_sal,lat_sal,lon_sal,firstyear_sal,finalyear_sal,Mean_Annual_Salinity_ppt,Mean_max_Salinity_ppt,Mean_min_Salinity_ppt,Salinity_st_dev,Salinity_n,Salinity_years,salinity_quantile_10,salinity_quantile_90,collection_type_sal,download_date_temp,source_description_temp,lat_temp,lon_temp,firstyear_temp,finalyear_temp,Mean_Annual_Temperature_C,Mean_max_temperature_C,Mean_min_temperature_C,Temperature_st_dev,Temperature_n,Temperature_years,temp_quantile_10,temp_quantile_90,collection_type_temp
IL_ApBay_FL_2023-10-3,12,FL,c435f215,10/3/23,intertidal,0,29.689108,-85.220739,1,0,0,1,0.277777778,43.75307692,100,0,27.77777778,100,0.3,11.74266667,0,1.666666667,29.14888889,1.38888888888889e-05,3/20/24,NERR Centralized Data. Apalachicola Bay - Dry Bar APADBWQ,29.6747,-85.0583,2002,2023,21.33549094,36.23478261,1.87826087,8.119103109,601948,23,9.7,31.6,continuous,3/20/24,NERR Centralized Data. Apalachicola Bay - Dry Bar APADBWQ,29.6747,-85.0583,2002,2023,22.76206101,32.55652174,7.77826087,6.264802699,601948,23,13.9,30.3,continuous
EC_ApBay_FL_2023-10-4,13,FL,ab95db59,10/4/23,intertidal,0,29.695683,-84.789312,1,0,0,1,0.052631579,47.878,100,0,5.263157895,100,0.166666667,7.577777778,0,1.763157895,28.06631579,2.63157894736842e-06,3/20/24,NERR Centralized Data. Apalachicola Bay - Cat Point APACPWQ,29.7021,-84.8802,2002,2023,21.42344243,34.74347826,1.895652174,7.928732351,635220,23,10.1,31.2,continuous,3/20/24,NERR Centralized Data. Apalachicola Bay - Cat Point APACPWQ,29.7021,-84.8802,2002,2023,22.92667989,32.4,9.282608696,6.22572743,635220,23,14.1,30.4,continuous
KP_FGR_FL_2022-8-23,14,FL,cba43d60,8/23/22,intertidal,0,30.44003,-81.43638,0.9474,0,0,1,0,26.72352941,94.74,0,0,100,0.416666667,19.55444444,5.55555555555556e-07,1.605263158,26.58210526,4.73684210526316e-06,9/13/23,National Parks Service Continuous Water Data - Timucuan Preserve,30.44116,-81.43908,2005,2022,32.35225365,37.20420518,15.42244418,3.715396855,249752,20,27.85066428,35.97585067,continuous,9/13/23,National Parks Service Continuous Water Data - Timucuan Preserve,30.44116,-81.43908,2005,2022,22.1556673,30.6387,10.38665,5.707664316,258086,20,14.559,29.279,continuous
Sapelo_Is_GA_2022-7-17,15,GA,a1ea71c2,7/17/22,intertidal,0,31.4177723,-81.2957724,0.9231,0.0714,0,0.833333333,0,26.42384615,92.31,7.14,0,83.33333333,0.642857143,20.97428571,7.14285714285714e-07,1.653846154,29.45461538,1.69230769230769e-05,7/11/23,NERR Centralized Data. Sapelo Island - Lower Duplin SAPLDWQ,31.41794,-81.29605,1999,2022,26.95660344,35.352,6.128,4.596149854,639023,25,20.8,32.2,continuous,7/11/23,NERR Centralized Data. Sapelo Island - Lower Duplin SAPLDWQ,31.41794,-81.29605,1999,2022,21.43557384,31.676,8.624,6.635617152,639023,25,12.4,29.7,continuous
Mer_GA_2022-7-26,16,GA,18c005b3,7/18/22,intertidal,0,31.453512,-81.363169,0.95,0.1111,0.05,0.95,0,26.27769231,95,11.11,0,95,1,28.94666667,1.11111111111111e-06,1.7,28.418,1e-05,3/19/24,USGS Water Data Meridian Landing - 022035975,31.45333333,-81.3627778,2007,2022,24.11886211,31.6875,11.45625,5.358950634,495777,16,17,31,continuous,3/19/24,USGS Water Data Meridian Landing - 022035975,31.45333333,-81.3627778,2007,2022,21.84500814,33.025,8.15,6.618344122,495777,16,12.8,30,continuous
SkR_GA_2022-6-14,17,GA,153a9139,6/14/22,intertidal,0,31.98995,-81.02173,0.9412,0,0,0.944444444,0,14.39384615,94.12,0,0,94.44444444,0.833333333,31.21066667,0,1.382352941,30.52823529,2.35294117647059e-06,4/18/24,Biological and Chemical Oceanography Data Management Office,31.9863317,-81.0052642,2013,2015,26.15427864,30.71770026,1.958482138,3.902788916,302091,3,21.53821623,29.82,continuous,4/18/24,Biological and Chemical Oceanography Data Management Office,31.9863317,-81.0052642,2013,2015,21.2232698,29.75566667,6.719666667,7.514125596,302091,3,11.056,30.054,continuous
FP_Sav_GA_2022-6-10,18,GA,d0fa1d3a,6/10/22,intertidal,0,32.01721,-80.92203,0.5789,0.55,0.1,1,0,22.66153846,57.89,55,0,100,1.725,25.0775,0.0001805,1.026315789,22.52526316,7.89473684210526e-06,3/20/24,National Parks Service Continuous Water Data - Fort Pulaski NM - Lazaretto Creek Dock,32.01414,-80.88412,2006,2022,23.10241328,33.33755517,9.56854204,4.642879576,234596,18,16.8518396,28.69560821,continuous,3/20/24,National Parks Service Continuous Water Data - Fort Pulaski NM - Lazaretto Creek Dock,32.01414,-80.88412,2006,2022,20.85897517,30.44470401,8.338666667,6.761183644,242645,18,11.88,29.48,continuous
GriceCove_SC_2022-8-10,19,SC,1c4ffeeb,8/10/22,intertidal,0.75,32.7523094,-79.8976693,0.9474,0,0,0.947368421,0,21.02153846,94.74,0,0,94.73684211,0.088235294,4.133529412,0,1.921052632,26.84578947,4.68421052631579e-05,8/15/23,USGS Water Data Charleston Harbor - 021720710,32.7804544,-79.923699,2020,2022,25.00581197,33,19,2.642187798,2925,1,22,29,continuous,8/15/23,USGS Water Data Charleston Harbor - 021720710,32.7804544,-79.923699,2007,2022,20.94015549,31.125,9.00625,6.777548068,476306,16,12,29.4,continuous
OL_MI_SC_2022-5-31,20,SC,f78d68da,5/31/22,intertidal,0,33.5235297,-79.061842,0.75,0,0.157894737,0.947368421,0.210526316,30.28052632,75,0,21.05263158,94.73684211,0.2,9.502666667,0,1.4375,19.825,2.5e-06,7/6/23,BCCWMS Coastal Volunteer Monitoring Data,33.52401,-79.06198,2008,2022,34.07826625,35.96555556,31.07244444,1.449343871,323,15,32.404,35.61466667,intermittent_bimonthly,7/6/23,BCCWMS Coastal Volunteer Monitoring Data,33.52401,-79.06198,2008,2022,19.9819453,28.95777778,8.557777778,6.829213378,323,15,10.84666667,28.36,intermittent_bimonthly
FFJ_CF_NC_2023-7-19,21,NC,8a6c50c7,7/19/23,intertidal,NA,33.9586917,-77.941833,0.9412,0.3333,0,0.95,0,28.62230769,94.12,33.33,0,95,1.388888889,26.09555556,2.55555555555556e-05,1.764705882,25.68647059,2.94117647058824e-06,8/16/23,NERR Centralized Data. North Carolina - Zeke's Basin/Cape Fear River NOCZBWQ,33.9547,-77.935,2002,2023,21.90667803,31.16956522,4.67826087,6.169087746,620857,23,13.2,29.3,continuous,8/16/23,NERR Centralized Data. North Carolina - Zeke's Basin/Cape Fear River NOCZBWQ,33.9547,-77.935,2002,2023,20.25651559,35.98695652,1.017391304,7.466355564,620857,23,10,29.4,continuous
UNCW_MS_NC_2023-7-17,22,NC,81326116,7/17/23,intertidal,0,34.1402344,-77.8636305,0.8889,0.4706,0,0.833333333,0,18.61461538,88.89,47.06,0,83.33333333,1.5,24.66588235,5.70588235294118e-05,1.444444444,28.01333333,4.44444444444444e-06,8/16/23,UNCW's Shellfish Research Hatchery at the Center for Marine Science and NCNERR - CMSDOCK,34.14,-77.8625,2018,2023,28.62290766,36.35833333,0.171666667,5.018323783,151954,6,21.73,34.4,weekly_continuous,8/16/23,UNCW's Shellfish Research Hatchery at the Center for Marine Science and NCNERR - CMSDOCK,34.14,-77.8625,2018,2023,19.66042658,30.72962963,2.389814815,6.773150885,151954,6,10.83888889,28.72222222,weekly_continuous
NPS_PS_NC_2022-10-12,23,NC,4a4ac84c,10/12/22,intertidal,0.1524,35.79389,-75.54978,0.9474,0,0.333333333,1,0,45.64538462,94.74,0,0,100,0.157894737,7.425263158,0,1.763157895,28.01526316,4.73684210526316e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WS_CB_VA_2022-10-7,24,VA,c6a43169,10/7/22,subtidal_dredge,2.4384,37.063817,-76.562783,1,0,0.722222222,1,0.9,46.00538462,100,0,90,100,0.03125,2.43125,0,2.1,25.295,2.3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWS_CB_VA_2022-10-7,25,VA,c60225dc,10/7/22,subtidal_dredge,3.9624,37.14888,-76.63554,0.3077,0.0556,0,1,0,55.47615385,30.77,5.56,0,100,0.333333333,9.02,5e-06,0.384615385,15.93461538,2.30769230769231e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC_VA_2022-7-11,26,VA,926ac4eb,7/11/22,intertidal,0,37.616617,-75.663933,0.9444,0.0625,0,0.947368421,0,16.74846154,94.44,6.25,0,94.73684211,0.1875,6.045625,6.25e-07,1.588235294,28.51444444,0.000157778,3/29/24,VIMS Eastern Shore Laboratory: Custis Channel/Wachapreague,37.60769,-75.6858,2016,2022,30.05792658,33.06285714,11.80285714,2.225725405,135848,7,27.34,32.39,continuous,3/29/24,VIMS Eastern Shore Laboratory: Custis Channel/Wachapreague,37.60769,-75.6858,2016,2022,18.01110143,31.20171429,1.207142857,8.305380084,135848,7,6.158,27.893,continuous
LCP_UP_MD_2022-10-20,27,MD,0a45bef1,10/20/22,subtidal_dredge,2.19456,38.33696,-76.97669,0.2143,0.0625,0,1,0,19.86071429,21.43,6.25,0,100,0.1875,6.0875,2.5e-06,0.642857143,22.09142857,7.14285714285714e-07,8/18/23,"Maryland DNR/Eyes on the Bay - Lower Potomac River, Morgantown Bridge",38.3626,-76.9905,1986,2022,7.706231079,13.49459459,1.44972973,3.462920741,8456,37,2.785,12.07,weekly_intermittent,8/18/23,"Maryland DNR/Eyes on the Bay - Lower Potomac River, Morgantown Bridge",38.3626,-76.9905,1986,2022,16.85515732,28.25945946,2.851351351,8.377067205,8454,37,4.7,27,weekly_intermittent
CS_DB_NJ_2022-9-21,28,NJ,a9a1e2b3,9/21/22,intertidal,NA,39.073592,-74.913017,0.3571,0.1333,0,NA,0,NA,35.71,13.33,0,NA,0.6,9.262666667,1.2e-05,0.571428571,18.80928571,2.14285714285714e-06,8/18/23,Delaware Water Quality - CEMA at University of Delaware,39.085,-75.186,2005,2022,22.70900662,26.79222222,17.39444444,4.247331359,151,18,17.45,26.75,monthly,8/18/23,Delaware Water Quality - CEMA at University of Delaware,39.085,-75.186,2005,2022,18.16364238,25.29555556,8.519444444,6.524409601,151,18,7.61,24.93,monthly
HC_DB_NJ_2022-9-23,29,NJ,1b37a22e,9/23/22,subtidal_dredge,3.66,39.434722,-75.516944,0.2308,0.0667,0,NA,0,NA,23.08,6.67,0,NA,0.25,7.004285714,0,0.269230769,13.59230769,0,8/18/23,Delaware Water Quality - CEMA at University of Delaware,39.455,-75.56,2005,2022,5.849733333,10.04,1.857777778,3.291231782,150,18,1.309,10.013,monthly,8/18/23,Delaware Water Quality - CEMA at University of Delaware,39.455,-75.56,2005,2022,18.911,26.81333333,8.996666667,6.827464253,150,18,8.136,26.748,monthly
AC_LIS_CT_2023-10-3,30,CT,62d6c8c1,10/3/23,intertidal,NA,41.146431,-73.235759,1,0,0.263157895,0.947368421,0,44.62153846,100,0,0,94.73684211,0.40625,16.813125,0,1.888888889,26.47833333,1.55555555555556e-05,3/27/24,"USGS Water Data  - Housatonic River NR Nells Island NR Stratford, CT - 01208837",41.1884333,-73.12125278,2020,2023,13.74925073,28.75,0.5,9.614096708,60726,4,1.1,27,continuous,3/27/24,"USGS Water Data  - Housatonic River NR Nells Island NR Stratford, CT - 01208837",41.1884333,-73.12125278,2020,2023,17.28614267,26.6,7.125,7.27605337,60726,4,4.5,24.4,continuous
FC_LIS_CT_2023-10-11,31,CT,32f6bc4c,10/11/23,intertidal,2,41.271986,-72.586128,1,0.0588,0.263157895,1,0.210526316,53.54615385,100,5.88,21.05263158,100,0.411764706,11.26235294,3.52941176470588e-06,2.210526316,24.37421053,0.00017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NR_NB_RI_2022-8-19,32,RI,fd281881,8/19/22,intertidal,0,41.505,-71.453,1,0,0,1,0,56.48307692,100,0,0,100,0.2,6.509333333,0,1.588235294,27.97882353,8.23529411764706e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DC_NB_RI_2022-8-19,33,RI,3ebfe0bd,8/19/22,intertidal,0,41.55897,-71.437883,1,0,0,1,0,51.25846154,100,0,0,100,0.1875,6.51625,0,1.5,28.39222222,2.77777777777778e-06,7/11/23,NERR Centralized Data. Narragansett Bay T-Wharf Bottom NARTBWQ,41.57836,-71.32112,2002,2022,30.52729905,33.41818182,19.45454545,1.082111898,629696,22,29.2,31.7,continuous,7/11/23,NERR Centralized Data. Narragansett Bay T-Wharf Bottom NARTBWQ,41.57836,-71.32112,2002,2022,12.18311963,23.87272727,1.186363636,6.70828115,629696,22,3.5,21,continuous
SawIs_MA_2022-9-5,34,MA,e867aaa8,9/5/22,intertidal,0,42.751733,-70.83657,0.95,0.0556,0,0.95,0.1,54.34285714,95,5.56,10,95,0.555555556,14.00444444,1.11111111111111e-06,1.8,25.206,1.4e-05,3/21/24,PIELTER Long-Term Montitoring Data,42.762543,-70.857724,2014,2022,22.36831402,31.09428571,5.284285714,7.347533235,72990,7,11.84,30.81,continuous_seasonal,3/21/24,PIELTER Long-Term Montitoring Data,42.762543,-70.857724,2014,2022,18.93762387,26.95542857,7.966714286,5.121320363,72990,7,11.63,24.76,continuous_seasonal
SR_GB_NH_2022-8-12,35,NH,3d17d2e9,8/12/22,subtidal_tongs,2.5,43.053746,-70.911544,0.9375,0.3333,0,1,0.052631579,55.45857143,93.75,33.33,5.263157895,100,1.083333333,19.325,1.38888888888889e-05,1.6875,25.895,3.4375e-05,7/11/23,NERR Centralized Data. Great Bay - Squamscott River GRBSQWQ,43.0524,-70.91181,1997,2022,18.64139071,30.04444444,1.144444444,8.32092582,432370,27,5.9,28.6,continuous,7/11/23,NERR Centralized Data. Great Bay - Squamscott River GRBSQWQ,43.0524,-70.91181,1997,2022,16.71709323,27.16296296,2.548148148,6.449624801,432370,27,7.2,24.2,continuous
Orrs_Cove_ME_2022-10-31,36,ME,ce36eb54,10/31/22,intertidal,0,43.83136167,-69.91531433,0.375,0.2,0,0.9,0,30.29461538,37.5,20,0,90,0.8,18.12533333,3.46666666666667e-05,0.3125,12.579375,6.25e-07,3/21/24,University of Maine,43.986,-69.55,2015,2023,29.47828304,31.50428571,8.741428571,2.277877961,26314,7,26.29,31.48,intermittent,3/21/24,University of Maine,43.986,-69.55,2015,2023,15.3288717,23.46,4.021428571,5.22149722,26314,7,7.563,21.5,intermittent
DC_DR_ME_2022-10-25,37,ME,5647be80,10/25/22,intertidal,0.3048,44.02452236,-69.53203214,0.125,0.1429,0,1,0,42.94846154,12.5,14.29,0,100,0.75,17.66071429,0.000203571,0.0625,4.401875,0,3/25/24,University of Maine,43.86457,-69.89763,2015,2022,31.24049971,42.055,7.4475,1.59619422,13688,4,30.5,32.06,intermittent,3/25/24,University of Maine,43.86457,-69.89763,2015,2022,14.81716832,25.175,8.255,4.017011625,13688,4,8.38,19.14,intermittent
SaltBay_Canada_2022-9-27,38,CN,7154602d,9/27/22,,1,43.812486,-65.910547,0.2,0,0,1,0,44.98461538,20,0,0,100,0.09375,6.963125,0,0.2,12.07666667,0,3/25/24,Nova Scotia Gov Water Quality Data,43.79075,-65.83619,2020,2021,26.91323539,31.73333333,17.3,3.494291949,104893,3,21.3,30.5,continuous,3/25/24,Nova Scotia Gov Water Quality Data,43.79075,-65.83619,2020,2021,11.84027107,23.37,0.815,6.958722129,56628,2,1.81,20.34,continuous
EelLake_Canada_2022-9-27,39,CN,b885364e,9/27/22,,3.048,43.82746,-65.9007577,0.1429,0,0,0.933333333,0,46.00230769,14.29,0,0,93.33333333,0.107142857,4.921428571,0,0.178571429,10.31428571,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PrEdIs_CN_A_2022-10-18,40,CN,b0ae4901,10/18/22,intertidal,0,46.1459253,-62.8874544,0.1765,0,0,0.85,0,28.44230769,17.65,0,0,85,0.2,10.681,0,0.205882353,12.69529412,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
