StationID,Year,DateDeployed,DateRetrieved,AverageSpat,WaterTemperature,Salinity
435,2020,20-Aug-20,27-Aug-20,6.2,27.2,9.9
435,2020,27-Aug-20,03-Sep-20,1.6,27,15.5
435,2020,03-Sep-20,10-Sep-20,8,26.8,11.5
435,2020,10-Sep-20,17-Sep-20,2.6,24.9,13.6
435,2020,17-Sep-20,24-Sep-20,5.8,20.5,12.5
435,2020,24-Sep-20,01-Oct-20,5.7,21.3,11.5
435,2019,23-May-19,23-May-19,,23,8.1
435,2019,23-May-19,30-May-19,0,23.9,16
435,2019,30-May-19,20-Jun-19,1.1,25.7,9.6
435,2019,20-Jun-19,27-Jun-19,0.5,24.4,19.1
435,2019,27-Jun-19,03-Jul-19,0.6,27.3,15.6
435,2019,03-Jul-19,11-Jul-19,0.8,28.6,15.3
435,2019,11-Jul-19,25-Jul-19,3.1,26.5,17
435,2019,25-Jul-19,01-Aug-19,14.7,27.6,17.3
435,2019,01-Aug-19,08-Aug-19,21,27.3,17.7
435,2019,08-Aug-19,15-Aug-19,3.1,27.3,18.8
435,2019,15-Aug-19,22-Aug-19,10.7,28.6,15.8
435,2019,22-Aug-19,05-Sep-19,8.3,27.4,18.9
435,2019,05-Sep-19,12-Sep-19,3.7,26.9,18.5
435,2019,12-Sep-19,26-Sep-19,,24.1,19.4
435,2018,24-May-18,24-May-18,,24.2,3.8
435,2018,24-May-18,31-May-18,0,25.4,5.4
435,2018,31-May-18,07-Jun-18,0,24.4,11.5
435,2018,07-Jun-18,14-Jun-18,0,25.2,8.2
435,2018,14-Jun-18,21-Jun-18,5.9,27.3,11.2
435,2018,21-Jun-18,28-Jun-18,11.6,27,8.3
435,2018,28-Jun-18,03-Jul-18,16.3,29.5,8.6
435,2018,03-Jul-18,12-Jul-18,25.8,27,12.5
435,2018,12-Jul-18,19-Jul-18,17.6,27.8,13
435,2018,19-Jul-18,26-Jul-18,8.4,26.3,10.6
435,2018,26-Jul-18,02-Aug-18,11.9,27.8,8.2
435,2018,02-Aug-18,09-Aug-18,2.6,28.1,14.8
435,2018,09-Aug-18,16-Aug-18,81.7,28.6,10.7
435,2018,16-Aug-18,30-Aug-18,28.2,28.2,11.6
435,2018,30-Aug-18,06-Sep-18,4.333,29,15.8
435,2018,06-Sep-18,20-Sep-18,10,27.7,13.7
435,2018,20-Sep-18,27-Sep-18,12.2,26.5,9.4
435,2018,27-Sep-18,04-Oct-18,5,25.4,12
435,2017,01-Jun-17,01-Jun-17,,23.1,5.2
435,2017,01-Jun-17,08-Jun-17,0,22.6,12.3
435,2017,08-Jun-17,15-Jun-17,0.4,25.4,13.3
435,2017,15-Jun-17,29-Jun-17,34.2,25.9,13.5
435,2017,29-Jun-17,06-Jul-17,68.5,26.7,20.3
435,2017,06-Jul-17,13-Jul-17,9.7,28.7,15.4
435,2017,13-Jul-17,20-Jul-17,4.7,29,21.1
435,2017,20-Jul-17,27-Jul-17,3.7,28,18.9
435,2017,27-Jul-17,03-Aug-17,5.4,26.4,21.4
435,2017,03-Aug-17,10-Aug-17,0.9,26.2,18.4
435,2017,10-Aug-17,17-Aug-17,3.3,27.3,20.2
435,2017,17-Aug-17,24-Aug-17,0,28.6,17.8
435,2017,24-Aug-17,31-Aug-17,1.2,24.5,18.5
435,2017,31-Aug-17,07-Sep-17,1.4,24.2,15.5
435,2017,07-Sep-17,14-Sep-17,1.4,23.2,17.9
435,2017,14-Sep-17,21-Sep-17,,24.3,18.8
435,2017,21-Sep-17,05-Oct-17,,22.3,18.5
435,2016,26-May-16,26-May-16,,20.4,6.2
435,2016,26-May-16,02-Jun-16,0,22.6,12
435,2016,02-Jun-16,09-Jun-16,0,24.1,6.4
435,2016,09-Jun-16,16-Jun-16,0.1,23.1,15.5
435,2016,16-Jun-16,30-Jun-16,6.9,25.7,14.5
435,2016,30-Jun-16,07-Jul-16,74.7,27.3,8.7
435,2016,07-Jul-16,14-Jul-16,49.9,27.3,17
435,2016,21-Jul-16,28-Jul-16,1.5,29.4,18.1
435,2016,28-Jul-16,04-Aug-16,1.7,28.3,14.6
435,2016,04-Aug-16,11-Aug-16,3,28.9,14
435,2016,11-Aug-16,18-Aug-16,2,29.5,16.9
435,2016,18-Aug-16,25-Aug-16,5.2,27.8,16.4
435,2016,25-Aug-16,01-Sep-16,0.1,28.6,17
435,2016,01-Sep-16,08-Sep-16,3,25.9,17.7
435,2016,08-Sep-16,15-Sep-16,1.4,26.3,18.9
435,2016,15-Sep-16,29-Sep-16,3.7,24.2,17.5
435,2015,28-May-15,11-Jun-15,0,24.5,14.7
435,2015,28-May-15,28-May-15,,23.8,10.6
435,2015,11-Jun-15,18-Jun-15,0.6,28.1,12.2
435,2015,18-Jun-15,25-Jun-15,,28.4,16.4
435,2015,25-Jun-15,02-Jul-15,11,27.1,13
435,2015,02-Jul-15,09-Jul-15,3,27.8,11.1
435,2015,09-Jul-15,16-Jul-15,0,27.6,13.3
435,2015,16-Jul-15,23-Jul-15,8,28.4,13.9
435,2015,23-Jul-15,30-Jul-15,0.6,28.8,16.2
435,2015,30-Jul-15,13-Aug-15,2.7,26.7,17.3
435,2015,13-Aug-15,20-Aug-15,1.3,27.6,14.4
435,2015,20-Aug-15,27-Aug-15,0.3,26.8,19.2
435,2015,27-Aug-15,03-Sep-15,1.9,26.8,16.6
435,2015,03-Sep-15,10-Sep-15,0.6,27.3,17.4
435,2015,10-Sep-15,17-Sep-15,0.9,24.9,16
435,2015,17-Sep-15,30-Sep-15,1.4,23.4,16.5
435,2014,29-May-14,29-May-14,,22.8,11
435,2014,29-May-14,12-Jun-14,0,24.6,13.8
435,2014,12-Jun-14,19-Jun-14,0.8,27.5,9.8
435,2014,19-Jun-14,26-Jun-14,2.6,26.9,12.9
435,2014,26-Jun-14,02-Jul-14,2.5,27.6,9.8
435,2014,02-Jul-14,10-Jul-14,0.8,26.5,14.5
435,2014,10-Jul-14,17-Jul-14,0,26.8,14.3
435,2014,17-Jul-14,31-Jul-14,0.5,25.9,13
435,2014,31-Jul-14,07-Aug-14,0,26,18.2
435,2014,07-Aug-14,14-Aug-14,0,26,15
435,2014,14-Aug-14,21-Aug-14,0.2,26.8,16.7
435,2014,21-Aug-14,28-Aug-14,0.7,25.9,14
435,2014,28-Aug-14,04-Sep-14,0.6,27.2,16.8
435,2014,04-Sep-14,11-Sep-14,2.2,25.2,14.3
435,2014,11-Sep-14,18-Sep-14,,24.1,16.8
435,2014,18-Sep-14,02-Oct-14,2.6,22.6,16.4
435,2013,30-May-13,30-May-13,,21.6,10.7
435,2013,30-May-13,06-Jun-13,0,23,16.3
435,2013,06-Jun-13,13-Jun-13,0,25.4,6.4
435,2013,13-Jun-13,20-Jun-13,0,22.1,20.3
435,2013,20-Jun-13,27-Jun-13,0,26.4,8.3
435,2013,27-Jun-13,03-Jul-13,0,25.5,15.9
435,2013,03-Jul-13,11-Jul-13,0,27.3,8.2
435,2013,11-Jul-13,18-Jul-13,0.1,26,19
435,2013,18-Jul-13,08-Aug-13,0.2,25.5,14.3
435,2013,08-Aug-13,15-Aug-13,0.2,25.9,16.6
435,2013,15-Aug-13,22-Aug-13,0,25.8,13.8
435,2013,22-Aug-13,29-Aug-13,0.4,25.5,20
435,2013,29-Aug-13,05-Sep-13,0.7,26.3,18.6
435,2013,05-Sep-13,12-Sep-13,1.2,26.4,17.8
435,2013,19-Sep-13,26-Sep-13,0.1,22.3,18.2
435,2012,31-May-12,31-May-12,,24,13.3
435,2012,31-May-12,07-Jun-12,0.1,22.6,11
435,2012,07-Jun-12,14-Jun-12,0.3,24.4,17.4
435,2012,14-Jun-12,21-Jun-12,2.4,25.5,11.3
435,2012,21-Jun-12,28-Jun-12,15.7,25.8,15.1
435,2012,28-Jun-12,05-Jul-12,33.6,28.7,14.5
435,2012,05-Jul-12,12-Jul-12,10.5,28,16
435,2012,12-Jul-12,19-Jul-12,0.8,29.1,17.7
435,2012,19-Jul-12,02-Aug-12,0.7,28.6,18.9
435,2012,02-Aug-12,09-Aug-12,0,28.4,15.1
435,2012,09-Aug-12,16-Aug-12,0.2,26.6,21.6
435,2012,16-Aug-12,23-Aug-12,0.7,26.4,18.4
435,2012,23-Aug-12,30-Aug-12,0,26.5,17.1
435,2012,30-Aug-12,06-Sep-12,1.4,27.6,13
435,2012,06-Sep-12,13-Sep-12,0.1,25.3,20.1
435,2012,13-Sep-12,20-Sep-12,0.2,23,17.1
435,2012,20-Sep-12,27-Sep-12,,22.3,17.4
435,2011,02-Jun-11,02-Jun-11,,26.1,9.8
435,2011,02-Jun-11,09-Jun-11,0,26.2,11.8
435,2011,09-Jun-11,16-Jun-11,0,24.8,12.2
435,2011,16-Jun-11,23-Jun-11,0,26.3,10.7
435,2011,23-Jun-11,30-Jun-11,0,26.6,14.6
435,2011,30-Jun-11,07-Jul-11,0.4,27.4,12.4
435,2011,07-Jul-11,14-Jul-11,1,27.8,15.9
435,2011,14-Jul-11,21-Jul-11,4.3,28.4,12.7
435,2011,28-Jul-11,04-Aug-11,7.2,29,16.3
435,2011,04-Aug-11,11-Aug-11,0.75,28.3,18.9
435,2011,11-Aug-11,18-Aug-11,0.7,27.3,15.6
435,2011,18-Aug-11,25-Aug-11,0.8,26.1,18
435,2011,25-Aug-11,01-Sep-11,,24.9,14.4
435,2011,01-Sep-11,08-Sep-11,0.5,25.5,15.8
435,2011,08-Sep-11,15-Sep-11,0.1,26.3,9
435,2011,15-Sep-11,22-Sep-11,0.4,23.2,13.8
435,2011,22-Sep-11,29-Sep-11,,24.1,9.6
435,2010,27-May-10,03-Jun-10,0,25.6,9.9
435,2010,10-Jun-10,17-Jun-10,0,27.1,14.3
435,2010,17-Jun-10,24-Jun-10,0,29.1,16.8
435,2010,24-Jun-10,01-Jul-10,3,27.7,16.5
435,2010,01-Jul-10,08-Jul-10,4.8,27,20.2
435,2010,08-Jul-10,15-Jul-10,45.8,28.2,16
435,2010,15-Jul-10,22-Jul-10,3.7,28.1,20.6
435,2010,22-Jul-10,29-Jul-10,2.7,28.4,16.9
435,2010,29-Jul-10,05-Aug-10,1.4,26.9,19.9
435,2010,05-Aug-10,12-Aug-10,0.6,29.1,18.6
435,2010,12-Aug-10,19-Aug-10,0.7,28.1,21.1
435,2010,19-Aug-10,26-Aug-10,0.4,26.6,18.7
435,2010,26-Aug-10,02-Sep-10,0.9,27.9,19.9
435,2010,02-Sep-10,09-Sep-10,0,25.5,19.8
435,2010,09-Sep-10,23-Sep-10,0.1,24.3,18
