qPCR_plate,short_label,cq_well_position,clean_ID
qpcr_pl2,B6_PlDNA10,B10,B6_CviMVP_PlDNA_10_SG_1834_e5dca67e
qpcr_pl2,C6_PlDNA10,C10,C6_CviMVP_PlDNA_10_SG_1188_d3bbc7d3
qpcr_pl2,D6_PlDNA10,D10,D6_CviMVP_PlDNA_10_SG_2067_ad481849
qpcr_pl2,E6_PlDNA10,E10,E6_CviMVP_PlDNA_10_SG_1449_a339503d
qpcr_pl2,F6_PlDNA10,F10,F6_CviMVP_PlDNA_10_SG_2047_b1ff69b8
qpcr_pl2,G6_PlDNA10,G10,G6_CviMVP_PlDNA_10_SG_1042_f25060f5
qpcr_pl2,H6_PlDNA10,H10,H6_CviMVP_PlDNA_10_SG_2063_47fa25a7
qpcr_pl2,A7_PlDNA10,B11,A7_CviMVP_PlDNA_10_SG_2070_a576a0fa
qpcr_pl2,B7_PlDNA10,C11,B7_CviMVP_PlDNA_10_SG_2027_40c79c0d
qpcr_pl2,C7_PlDNA10,D11,C7_CviMVP_PlDNA_10_SG_1994_84a84701
qpcr_pl2,D7_PlDNA10,E11,D7_CviMVP_PlDNA_10_SG_1382_c71a858c
qpcr_pl2,E7_PlDNA10,F11,E7_CviMVP_PlDNA_10_SG_1907_e2ee8f04
qpcr_pl2,A7_PlDNA10,B12,A7_CviMVP_PlDNA_10_SG_2070_a576a0fa
qpcr_pl2,B7_PlDNA10,C12,B7_CviMVP_PlDNA_10_SG_2027_40c79c0d
qpcr_pl2,C7_PlDNA10,D12,C7_CviMVP_PlDNA_10_SG_1994_84a84701
qpcr_pl2,D7_PlDNA10,E12,D7_CviMVP_PlDNA_10_SG_1382_c71a858c
qpcr_pl2,E7_PlDNA10,F12,E7_CviMVP_PlDNA_10_SG_1907_e2ee8f04
qpcr_pl3,A8_PlDNA5,A03,A8_CviMVP_PlDNA_5_SG_1240_5c86242a
qpcr_pl3,B8_PlDNA5,B03,B8_CviMVP_PlDNA_5_SG_1558_fba7a623
qpcr_pl3,C8_PlDNA5,C03,C8_CviMVP_PlDNA_5_SG_1177_84b10c5a
qpcr_pl3,D8_PlDNA5,D03,D8_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1850_dfd894f5
qpcr_pl3,E8_PlDNA5,E03,E8_CviMVP_PlDNA_5_SG_1555_8dbba465
qpcr_pl3,F8_PlDNA5,F03,F8_CviMVP_PlDNA_5_SG_1236_d423013f
qpcr_pl3,G8_PlDNA5,G03,G8_CviMVP_PlDNA_5_SG_1347_6fd02556
qpcr_pl3,H8_PlDNA5,H03,H8_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1776_3c0d0ba6
qpcr_pl3,A8_PlDNA5,A04,A8_CviMVP_PlDNA_5_SG_1240_5c86242a
qpcr_pl3,B8_PlDNA5,B04,B8_CviMVP_PlDNA_5_SG_1558_fba7a623
qpcr_pl3,C8_PlDNA5,C04,C8_CviMVP_PlDNA_5_SG_1177_84b10c5a
qpcr_pl3,D8_PlDNA5,D04,D8_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1850_dfd894f5
qpcr_pl3,E8_PlDNA5,E04,E8_CviMVP_PlDNA_5_SG_1555_8dbba465
qpcr_pl3,F8_PlDNA5,F04,F8_CviMVP_PlDNA_5_SG_1236_d423013f
qpcr_pl3,G8_PlDNA5,G04,G8_CviMVP_PlDNA_5_SG_1347_6fd02556
qpcr_pl3,H8_PlDNA5,H04,H8_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1776_3c0d0ba6
qpcr_pl3,A10_PlDNA5,A05,A10_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_3010_78670ac9
qpcr_pl3,B10_PlDNA5,B05,B10_CviMVP_PlDNA_5_SG_1037_baf65a49
qpcr_pl3,C10_PlDNA5,C05,C10_CviMVP_PlDNA_5_SG_1699_ba3f6196
qpcr_pl3,D10_PlDNA5,D05,D10_CviMVP_PlDNA_5_SG_1673_65fa18bf
qpcr_pl3,E10_PlDNA5,E05,E10_CviMVP_PlDNA_5_SG_1339_2f706811
qpcr_pl3,F10_PlDNA5,F05,F10_CviMVP_PlDNA_5_SG_1140_2d92ccfe
qpcr_pl3,G10_PlDNA5,G05,G10_CviMVP_PlDNA_5_SG_1680_659f75bd
qpcr_pl3,H10_PlDNA5,H05,H10_CviMVP_PlDNA_5_SG_1420_9ee80cac
qpcr_pl3,A10_PlDNA5,A06,A10_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_3010_78670ac9
qpcr_pl3,B10_PlDNA5,B06,B10_CviMVP_PlDNA_5_SG_1037_baf65a49
qpcr_pl3,C10_PlDNA5,C06,C10_CviMVP_PlDNA_5_SG_1699_ba3f6196
qpcr_pl3,D10_PlDNA5,D06,D10_CviMVP_PlDNA_5_SG_1673_65fa18bf
qpcr_pl3,E10_PlDNA5,E06,E10_CviMVP_PlDNA_5_SG_1339_2f706811
qpcr_pl3,F10_PlDNA5,F06,F10_CviMVP_PlDNA_5_SG_1140_2d92ccfe
qpcr_pl3,G10_PlDNA5,G06,G10_CviMVP_PlDNA_5_SG_1680_659f75bd
qpcr_pl3,H10_PlDNA5,H06,H10_CviMVP_PlDNA_5_SG_1420_9ee80cac
qpcr_pl3,A11_PlDNA5,A07,A11_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_3026_80be4f10
qpcr_pl3,B11_PlDNA5,B07,B11_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_3035_b56ac115
qpcr_pl3,C11_PlDNA5,C07,C11_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1853_a4196b8b
qpcr_pl3,D11_PlDNA5,D07,D11_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1523_b1a44415
qpcr_pl3,E11_PlDNA5,E07,E11_CviMVP_PlDNA_5_SG_1084_5795889f
qpcr_pl3,F11_PlDNA5,F07,
qpcr_pl3,G11_PlDNA5,G07,G11_CviMVP_PlDNA_5_SG_1803_645f7974
qpcr_pl3,H11_PlDNA5,H07,H11_CviMVP_PlDNA_5_SG_1288_67942cfd
qpcr_pl3,A11_PlDNA5,A08,A11_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_3026_80be4f10
qpcr_pl3,B11_PlDNA5,B08,B11_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_3035_b56ac115
qpcr_pl3,C11_PlDNA5,C08,C11_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1853_a4196b8b
qpcr_pl3,D11_PlDNA5,D08,D11_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1523_b1a44415
qpcr_pl3,E11_PlDNA5,E08,E11_CviMVP_PlDNA_5_SG_1084_5795889f
qpcr_pl3,F11_PlDNA5,F08,
qpcr_pl3,G11_PlDNA5,G08,G11_CviMVP_PlDNA_5_SG_1803_645f7974
qpcr_pl3,H11_PlDNA5,H08,H11_CviMVP_PlDNA_5_SG_1288_67942cfd
qpcr_pl3,A12_PlDNA5,A09,A12_CviMVP_PlDNA_5_SG_1825_b3a90178
qpcr_pl3,A9_PlDNA5,B09,A9_CviMVP_PlDNA_5_SG_1659_12a25bac
qpcr_pl3,C12_PlDNA5,C09,C12_CviMVP_PlDNA_5_SG_1348_b189398c
qpcr_pl3,D12_PlDNA5,D09,D12_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1856_c5dc6416
qpcr_pl3,E12_PlDNA5,E09,E12_CviMVP_PlDNA_5_SG_1185_aba5efd7
qpcr_pl3,F12_PlDNA5,F09,F12_CviMVP_PlDNA_5_SG_1564_9305f148
qpcr_pl3,G12_PlDNA5,G09,G12_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1860_6b3c9694
qpcr_pl3,H12_PlDNA5,H09,H12_CviMVP_PlDNA_5_SG_1370_ad268e37
qpcr_pl3,A12_PlDNA5,A10,A12_CviMVP_PlDNA_5_SG_1825_b3a90178
qpcr_pl3,A9_PlDNA5,B10,A9_CviMVP_PlDNA_5_SG_1659_12a25bac
qpcr_pl3,C12_PlDNA5,C10,C12_CviMVP_PlDNA_5_SG_1348_b189398c
qpcr_pl3,D12_PlDNA5,D10,D12_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1856_c5dc6416
qpcr_pl3,E12_PlDNA5,E10,E12_CviMVP_PlDNA_5_SG_1185_aba5efd7
qpcr_pl3,F12_PlDNA5,F10,F12_CviMVP_PlDNA_5_SG_1564_9305f148
qpcr_pl3,G12_PlDNA5,G10,G12_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1860_6b3c9694
qpcr_pl3,H12_PlDNA5,H10,H12_CviMVP_PlDNA_5_SG_1370_ad268e37
qpcr_pl3,D7_PlDNA5,B11,D7_CviMVP_PlDNA_5_SG_1796_1ba8d3a0
qpcr_pl3,E7_PlDNA5,C11,E7_CviMVP_PlDNA_5_SG_1916_b4df3bc3
qpcr_pl3,F7_PlDNA5,D11,F7_CviMVP_PlDNA_5_SG_1354_541bb3b2
qpcr_pl3,G7_PlDNA5,E11,G7_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1537_b0ca9a64
qpcr_pl3,H7_PlDNA5,F11,H7_CviMVP_PlDNA_5_SG_1790_4da0737e
qpcr_pl3,D7_PlDNA5,B12,D7_CviMVP_PlDNA_5_SG_1796_1ba8d3a0
qpcr_pl3,E7_PlDNA5,C12,E7_CviMVP_PlDNA_5_SG_1916_b4df3bc3
qpcr_pl3,F7_PlDNA5,D12,F7_CviMVP_PlDNA_5_SG_1354_541bb3b2
qpcr_pl3,G7_PlDNA5,E12,G7_CviMVP_PlDNA_5_SG.sharedLotterhosPuritz_1537_b0ca9a64
qpcr_pl3,H7_PlDNA5,F12,H7_CviMVP_PlDNA_5_SG_1790_4da0737e
qpcr_pl4,A1_PlDNA8,A03,A1_CviMVP_PlDNA_8_SG_1704_5a1dbe6d
qpcr_pl4,B1_PlDNA8,B03,B1_CviMVP_PlDNA_8_SG_1963_eb235ee9
qpcr_pl4,C1_PlDNA8,C03,C1_CviMVP_PlDNA_8_SG_1435_7dd409da
qpcr_pl4,D1_PlDNA8,D03,D1_CviMVP_PlDNA_8_SG_1094_dbbaa94b
qpcr_pl4,E1_PlDNA8,E03,E1_CviMVP_PlDNA_8_SG_1950_7393d075
qpcr_pl4,F1_PlDNA8,F03,F1_CviMVP_PlDNA_8_SG.sharedLotterhosPuritz_1535_190eee14
qpcr_pl4,G1_PlDNA8,G03,G1_CviMVP_PlDNA_8_SG.sharedLotterhosPuritz_3018_0816a7c7
qpcr_pl4,H1_PlDNA8,H03,H1_CviMVP_PlDNA_8_SG_1946_c72e69f0
qpcr_pl4,A1_PlDNA8,A04,A1_CviMVP_PlDNA_8_SG_1704_5a1dbe6d
qpcr_pl4,B1_PlDNA8,B04,B1_CviMVP_PlDNA_8_SG_1963_eb235ee9
qpcr_pl4,C1_PlDNA8,C04,C1_CviMVP_PlDNA_8_SG_1435_7dd409da
qpcr_pl4,D1_PlDNA8,D04,D1_CviMVP_PlDNA_8_SG_1094_dbbaa94b
qpcr_pl4,E1_PlDNA8,E04,E1_CviMVP_PlDNA_8_SG_1950_7393d075
qpcr_pl4,F1_PlDNA8,F04,F1_CviMVP_PlDNA_8_SG.sharedLotterhosPuritz_1535_190eee14
qpcr_pl4,G1_PlDNA8,G04,G1_CviMVP_PlDNA_8_SG.sharedLotterhosPuritz_3018_0816a7c7
qpcr_pl4,H1_PlDNA8,H04,H1_CviMVP_PlDNA_8_SG_1946_c72e69f0
qpcr_pl4,A2_PlDNA8,A05,A2_CviMVP_PlDNA_8_SG_1620_0699af35
qpcr_pl4,B2_PlDNA8,B05,B2_CviMVP_PlDNA_8_SG_1968_395d59b2
qpcr_pl4,C2_PlDNA8,C05,C2_CviMVP_PlDNA_8_SG_1216_f035d672
qpcr_pl4,D2_PlDNA8,D05,D2_CviMVP_PlDNA_8_SG_1150_d9d44bea
qpcr_pl4,E2_PlDNA8,E05,E2_CviMVP_PlDNA_8_SG_1964_e12c9fad
qpcr_pl4,F2_PlDNA8,F05,F2_CviMVP_PlDNA_8_SG_1875_a48165f7
qpcr_pl4,G2_PlDNA8,G05,G2_CviMVP_PlDNA_8_SG_1987_51f2e064
qpcr_pl4,H2_PlDNA8,H05,H2_CviMVP_PlDNA_8_SG_1817_40830da8
qpcr_pl4,A2_PlDNA8,A06,A2_CviMVP_PlDNA_8_SG_1620_0699af35
qpcr_pl4,B2_PlDNA8,B06,B2_CviMVP_PlDNA_8_SG_1968_395d59b2
qpcr_pl4,C2_PlDNA8,C06,C2_CviMVP_PlDNA_8_SG_1216_f035d672
qpcr_pl4,D2_PlDNA8,D06,D2_CviMVP_PlDNA_8_SG_1150_d9d44bea
qpcr_pl4,E2_PlDNA8,E06,E2_CviMVP_PlDNA_8_SG_1964_e12c9fad
qpcr_pl4,F2_PlDNA8,F06,F2_CviMVP_PlDNA_8_SG_1875_a48165f7
qpcr_pl4,G2_PlDNA8,G06,G2_CviMVP_PlDNA_8_SG_1987_51f2e064
qpcr_pl4,H2_PlDNA8,H06,H2_CviMVP_PlDNA_8_SG_1817_40830da8
qpcr_pl4,A3_PlDNA8,A07,A3_CviMVP_PlDNA_8_SG_1244_e32d6f62
qpcr_pl4,B3_PlDNA8,B07,B3_CviMVP_PlDNA_8_SG_1630_d7ee4a92
qpcr_pl4,C3_PlDNA8,C07,C3_CviMVP_PlDNA_8_SG.sharedLotterhosPuritz_1515_7b4479d6
qpcr_pl4,D3_PlDNA8,D07,D3_CviMVP_PlDNA_8_SG.sharedLotterhosPuritz_3051_0a898d6c
qpcr_pl4,E3_PlDNA8,E07,E3_CviMVP_PlDNA_8_SG_1953_768af66b
qpcr_pl4,F3_PlDNA8,F07,F3_CviMVP_PlDNA_8_SG_1976_e7453abd
qpcr_pl4,G3_PlDNA8,G07,G3_CviMVP_PlDNA_8_SG_1870_e23dc377
qpcr_pl4,H3_PlDNA8,H07,H3_CviMVP_PlDNA_8_SG_1590_6ac21255
qpcr_pl4,A3_PlDNA8,A08,A3_CviMVP_PlDNA_8_SG_1244_e32d6f62
qpcr_pl4,B3_PlDNA8,B08,B3_CviMVP_PlDNA_8_SG_1630_d7ee4a92
qpcr_pl4,C3_PlDNA8,C08,C3_CviMVP_PlDNA_8_SG.sharedLotterhosPuritz_1515_7b4479d6
qpcr_pl4,D3_PlDNA8,D08,D3_CviMVP_PlDNA_8_SG.sharedLotterhosPuritz_3051_0a898d6c
qpcr_pl4,E3_PlDNA8,E08,E3_CviMVP_PlDNA_8_SG_1953_768af66b
qpcr_pl4,F3_PlDNA8,F08,F3_CviMVP_PlDNA_8_SG_1976_e7453abd
qpcr_pl4,G3_PlDNA8,G08,G3_CviMVP_PlDNA_8_SG_1870_e23dc377
qpcr_pl4,H3_PlDNA8,H08,H3_CviMVP_PlDNA_8_SG_1590_6ac21255
qpcr_pl4,A4_PlDNA8,A09,A4_CviMVP_PlDNA_8_SG_1018_d1b93996
qpcr_pl4,B4_PlDNA8,B09,B4_CviMVP_PlDNA_8_SG_1934_cc08ebbc
qpcr_pl4,C4_PlDNA8,C09,C4_CviMVP_PlDNA_8_SG_1960_3357f004
