"Population","Pathogen","Total_Samples","Positive_Samples","Negative_Samples","Prevalence","Total_Intensity","Average_Intensity","Weighted_Prevalence"
"FC_LIS_CT_2023-10-11","MSX",17,2,15,0.1176,4,2,0.2353
"DWS_CB_VA_2022-10-7","MSX",18,1,17,0.0556,3,3,0.1667
"Mer_GA_2022-7-26","MSX",18,5,13,0.2778,6,1.2,0.3333
"FFJ_CF_NC_2023-7-19","MSX",18,9,9,0.5,17,1.8889,0.9444
"UNCW_MS_NC_2023-7-17","MSX",17,8,9,0.4706,21,2.625,1.2353
"IL_ApBay_FL_2023-10-3","MSX",15,1,14,0.0667,1,1,0.0667
"FP_Sav_GA_2022-6-10","MSX",20,14,6,0.7,29,2.0714,1.45
"AC_LIS_CT_2023-10-3","MSX",16,4,12,0.25,4,1,0.25
"SkR_GA_2022-6-14","MSX",15,4,11,0.2667,4,1,0.2667
"KP_FGR_FL_2022-8-23","MSX",18,2,16,0.1111,2,1,0.1111
"NR_NB_RI_2022-8-19","MSX",15,1,14,0.0667,1,1,0.0667
"SaltBay_Canada_2022-9-27","MSX",16,0,16,0,0,0,0
"WS_CB_VA_2022-10-7","MSX",16,0,16,0,0,0,0
"EelLake_Canada_2022-9-27","MSX",14,0,14,0,0,0,0
"DC_DR_ME_2022-10-25","MSX",14,2,12,0.1429,6,3,0.4286
"Culch_Ba_LA_2022-6-21","MSX",18,0,18,0,0,0,0
"CB_TX_2022-6-9","MSX",17,1,16,0.0588,1,1,0.0588
"Nickle_Rf_LA_2022-8-1","MSX",12,0,12,0,0,0,0
"Cal_Lake_LA_2022-8-11","MSX",18,0,18,0,0,0,0
"Sister_Lk_LA_2022-8-9","MSX",18,1,17,0.0556,1,1,0.0556
"GriceCove_SC_2022-8-10","MSX",17,0,17,0,0,0,0
"Orrs_Cove_ME_2022-10-31","MSX",15,5,10,0.3333,8,1.6,0.5333
"OL_MI_SC_2022-5-31","MSX",15,0,15,0,0,0,0
"SR_GB_NH_2022-8-12","MSX",18,8,10,0.4444,12,1.5,0.6667
"SawIs_MA_2022-9-5","MSX",18,5,13,0.2778,5,1,0.2778
"CC_VA_2022-7-11","MSX",16,1,15,0.0625,1,1,0.0625
"CS_DB_NJ_2022-9-21","MSX",15,4,11,0.2667,6,1.5,0.4
"PrEdIs_CN_A_2022-10-18","MSX",20,0,20,0,0,0,0
"CPR_MS_AL_2022-8-24","MSX",12,1,11,0.0833,1,1,0.0833
"LakeFortuna_LA_2022-5-11","MSX",17,0,17,0,0,0,0
"HC_DB_NJ_2022-9-23","MSX",15,1,14,0.0667,1,1,0.0667
"NPS_PS_NC_2022-10-12","MSX",19,0,19,0,0,0,0
"SaLa_GA_2022-10-5","MSX",18,2,16,0.1111,2,1,0.1111
"LCP_UP_MD_2022-10-20","MSX",16,1,15,0.0625,2,2,0.125
"DC_NB_RI_2022-8-19","MSX",16,1,15,0.0625,1,1,0.0625
"GalBay_TX_2022-6-2","MSX",15,0,15,0,0,0,0
"Sapelo_Is_GA_2022-7-17","MSX",14,3,11,0.2143,4,1.3333,0.2857
"LM_TX_2022-7-10","MSX",1,0,1,0,0,0,0
